Mandate ID,Name,Surname,Email,Cellphone,Id Number,Address Line 1,Address Line 2,Suburb,City,Province,Reference,Service Type,Debit Frequency,Bank Name,Acc Type,Branch Code,Account Holder Name,Acc Number,Once off amount,Recurring amount,Collection date,Collection end date
3234,one,two,1rakesh@mailinator.com,8292733000,7.89E+12,1 Away,,Bellville,Cape Town,Western Cape,1bray,Same day,Monthly,ABSA,Chequfghfghe,632005,1Johannes Bray,4081293331,100,300,02/25/2020,02/02/2020
3235,three,four,2rakesh@mailinator.com,8292733001,7.89E+12,2 Away,,Bellville,Cape Town,Western Cape,2bray,Same day,Monthly,ABSA,Cheque,632006,2Johannes Bray,4081293332,150,450,02/25/2020,12/25/2020
3236,five,six,3rakesh@mailinator.com,8292733002,7.89E+12,3 Away,,Bellville,Cape Town,Western Cape,3bray,Same day,Monthly,ABSA,Cheque,632007,3Johannes Bray,4081293333,200,600,02/25/2020,12/25/2020
3237,seven,eight,4rakesh@mailinator.com,8292733003,7.89E+12,4 Away,,Bellville,Cape Town,Western Cape,4bray,Same day,Monthly,ABSA,Cheque,632008,4Johannes Bray,4081293334,100,300,02/25/2020,12/25/2020
3238,nine,ten,5rakesh@mailinator.com,8292733004,7.89E+12,5 Away,,Bellville,Cape Town,Western Cape,5bray,Same day,Monthly,ABSA,Cheque,632009,5Johannes Bray,4081293335,75,250,02/25/2020,12/25/2020
3239,eleven,two,6rakesh@mailinator.com,8292733005,7.89E+12,6 Away,,Bellville,Cape Town,Western Cape,6bray,Same day,Monthly,ABSA,Cheque,632010,6Johannes Bray,4081293336,,300,,12/25/2020
3240,thirteen,four,7rakesh@mailinator.com,8292733006,7.89E+12,7 Away,,Bellville,Cape Town,Western Cape,7bray,Same day,Monthly,ABSA,Cheque,632011,7Johannes Bray,4081293337,,900,,12/25/2020
3241,fifteen,six,8rakesh@mailinator.com,8292733007,7.89E+12,8 Away,,Bellville,Cape Town,Western Cape,8bray,Same day,Monthly,ABSA,Cheque,632012,8Johannes Bray,4081293338,100,,02/25/2020,
3242,seventeen,eight,9rakesh@mailinator.com,8292733008,7.89E+12,9 Away,,Bellville,Cape Town,Western Cape,9bray,Same day,Monthly,ABSA,Cheque,632013,9Johannes Bray,4081293339,,800,,12/25/2020
3243,nineteen,ten,10rakesh@mailinator.com,8292733009,7.89E+12,10 Away,,Bellville,Cape Town,Western Cape,10bray,Same day,Monthly,ABSA,Cheque,632014,10Johannes Bray,4081293340,,1500,,12/25/2020
3244,twentyone,twentytwo,11rakesh@mailinator.com,8292733010,7.89E+12,11 Away,,Bellville,Cape Town,Western Cape,11bray,Same day,Monthly,ABSA,Cheque,632015,11Johannes Bray,4081293341,,1254,,12/25/2020
3245,twentythree,twentyfour,12rakesh@mailinator.com,8292733011,7.89E+12,12 Away,,Bellville,Cape Town,Western Cape,12bray,Same day,Monthly,Afbbbbrican Bank,Cheque,632016,12Johannes Bray,4081293342,150,,02/25/2020,
