Mandate ID,Name,Surname,Email,Cellphone,Id Number,Address Line 1,Address Line 2,Suburb,City,Province,Reference,Service Type,Debit Frequency,Bank Name,Acc Type,Branch Code,Account Holder Name,Acc Number,Collection Type,,Once off amount,Recurring amount,Once off Collection date,Recurring Collection start date,Recurring Collection end date
3234,one,two,1rakesh@mailinator.com,8292733000,7894561230789,1 Away,,Bellville,Cape Town,Western Cape,1bray,Same day,Monthly,ABSA,Cheque,632005,1Johannes Bray,4081293331,Once Off,Recurring,100,300,02/25/2020,02/25/2020,12/25/2020
3235,three,four,2rakesh@mailinator.com,8292733001,7894561230790,2 Away,,Bellville,Cape Town,Western Cape,2bray,Same day,Monthly,ABSA,Cheque,632006,2Johannes Bray,4081293332,Once Off,Recurring,150,450,02/25/2020,02/25/2020,12/25/2020
3236,five,six,3rakesh@mailinator.com,8292733002,7894561230791,3 Away,,Bellville,Cape Town,Western Cape,3bray,Same day,Monthly,ABSA,Cheque,632007,3Johannes Bray,4081293333,Once Off,Recurring,200,600,02/25/2020,02/25/2020,12/25/2020
3237,seven,eight,4rakesh@mailinator.com,8292733003,7894561230792,4 Away,,Bellville,Cape Town,Western Cape,4bray,Same day,Monthly,ABSA,Cheque,632008,4Johannes Bray,4081293334,Once Off,Recurring,100,300,02/25/2020,02/25/2020,12/25/2020
3238,nine,ten,5rakesh@mailinator.com,8292733004,7894561230793,5 Away,,Bellville,Cape Town,Western Cape,5bray,Same day,Monthly,ABSA,Cheque,632009,5Johannes Bray,4081293335,Once Off,Recurring,75,250,02/25/2020,02/25/2020,12/25/2020
3239,eleven,two,6rakesh@mailinator.com,8292733005,7894561230794,6 Away,,Bellville,Cape Town,Western Cape,6bray,Same day,Monthly,ABSA,Cheque,632010,6Johannes Bray,4081293336,,Recurring,,300,,02/25/2020,12/25/2020
3240,thirteen,four,7rakesh@mailinator.com,8292733006,7894561230795,7 Away,,Bellville,Cape Town,Western Cape,7bray,Same day,Monthly,ABSA,Cheque,632011,7Johannes Bray,4081293337,,Recurring,,900,,02/25/2020,12/25/2020
3241,fifteen,six,8rakesh@mailinator.com,8292733007,7894561230796,8 Away,,Bellville,Cape Town,Western Cape,8bray,Same day,Monthly,ABSA,Cheque,632012,8Johannes Bray,4081293338,Once Off,,100,,02/25/2020,,
3242,seventeen,eight,9rakesh@mailinator.com,8292733008,7894561230797,9 Away,,Bellville,Cape Town,Western Cape,9bray,Same day,Monthly,ABSA,Cheque,632013,9Johannes Bray,4081293339,,Recurring,,800,,02/25/2020,12/25/2020
3243,nineteen,ten,10rakesh@mailinator.com,8292733009,7894561230798,10 Away,,Bellville,Cape Town,Western Cape,10bray,Same day,Monthly,ABSA,Cheque,632014,10Johannes Bray,4081293340,,Recurring,,1500,,02/25/2020,12/25/2020
