Mandate ID,Name,Surname,Email,Cellphone,Id Number,Address Line 1,Address Line 2,Suburb,City,Province,Reference,Service Type,Debit Frequency,Bank Name,Acc Type,Branch Code,Account Holder Name,Acc Number,Once off amount,Recurring amount,Collection date,Collection end date
1044,PayPort,SA,payportsa@mailinator.com,1234567890,1000000000056,,,,,,,Same day,,ABSA,Cheque,632005,PayPortSA,4058597732,7,0,05/03/2020,
1045,Chereen,Steenkamp,payportsa@mailinator.com,1234567891,1000000000057,,,,,,,Same day,,Nedbank,Cheque,198765,Chereen Steenkamp,1608011550,6,0,05/03/2020,
1046,Chereen,Muller,chereenmuller@mailinator.com,1234567892,1000000000058,,,,,,,Same Day,,Capitec,saving,470010,Chereen Muller,1126080630,5,0,05/03/2020,
1047,PayPort,Consulting,payportconsulting@mailinator.com,1234567893,1000000000059,,,,,,,Same Day,,First National Bank,Cheque,250655,PayPort Consulting,62376178094,4,0,05/03/2020,
1048,Payport,sas,payportsas@mailinator.com,1234567894,1000000000060,,,,,,,Same Day,,ABSA,saving,632005,Payport,4158597732,3,0,05/03/2020,
1049,Chereen,Steenkamp,chereensteenkamp@mailinator.com,1234567895,1000000000061,,,,,,,Same Day,,Capitec,Cheque,4701,Chereen Steenkamp,1126080630,2,0,05/03/2020,
1050,PayPort,Consulting,payportconsulting@mailinator.com,1234567896,1000000000062,,,,,,,Same Day,,DNB,saving,250655,PayPort Consulting,62376178094,1,0,05/03/2020,
1051,PayPort,SA,payportsa@mailinator.com,1234567897,1000000000063,,,,,,,1 day,,ABSA,Cheque,632005,PayPortSA,4058597732,7,0,05/03/2020,
1052,Chereen,Steenkamp,payportsa@mailinator.com,1234567898,1000000000064,,,,,,,1 Day,,Nedbank,Cheque,198765,Chereen Steenkamp,1608011550,6,0,05/04/2020,
1053,Chereen,Muller,chereenmuller@mailinator.com,1234567899,1000000000065,,,,,,,1 Day,,Capitec,saving,470010,Chereen Muller,1126080630,5,0,05/04/2020,
1054,PayPort,Consulting,payportconsulting@mailinator.com,1234567900,1000000000066,,,,,,,1 Day,,First National Bank,Cheque,250655,PayPort Consulting,62376178094,4,0,05/04/2020,
1055,Payport,sas,payportsas@mailinator.com,1234567901,1000000000067,,,,,,,1 Day,,ABSA,saving,632005,Payport,4158597732,3,0,05/04/2020,
1056,Chereen,Steenkamp,chereensteenkamp@mailinator.com,1234567902,1000000000068,,,,,,,1 Day,,Capitec,Cheque,4701,Chereen Steenkamp,1126080630,2,0,05/04/2020,
1057,PayPort,Consulting,payportconsulting@mailinator.com,1234567903,1000000000069,,,,,,,1 Day,,DNB,saving,250655,PayPort Consulting,62376178094,1,0,05/04/2020,
1058,PayPort,SA,payportsa@mailinator.com,1234567904,1000000000070,,,,,,,2 day,,ABSA,Cheque,632005,PayPortSA,4058597732,7,0,05/05/2020,
1059,Chereen,Steenkamp,payportsa@mailinator.com,1234567905,1000000000071,,,,,,,2 Day,,Nedbank,Cheque,198765,Chereen Steenkamp,1608011550,6,0,05/05/2020,
1060,Chereen,Muller,chereenmuller@mailinator.com,1234567906,1000000000072,,,,,,,2 Day,,Capitec,saving,470010,Chereen Muller,1126080630,5,0,05/05/2020,
1061,PayPort,Consulting,payportconsulting@mailinator.com,1234567907,1000000000073,,,,,,,2 Day,,First National Bank,Cheque,250655,PayPort Consulting,62376178094,4,0,05/05/2020,
1062,Payport,sas,payportsas@mailinator.com,1234567908,1000000000074,,,,,,,2 Day,,ABSA,saving,632005,Payport,4158597732,3,0,05/05/2020,
1063,Chereen,Steenkamp,chereensteenkamp@mailinator.com,1234567909,1000000000075,,,,,,,2 Day,,Capitec,Cheque,4701,Chereen Steenkamp,1126080630,2,0,05/05/2020,
1064,PayPort,Consulting,payportconsulting@mailinator.com,1234567910,1000000000076,,,,,,,2 Day,,DNB,saving,250655,PayPort Consulting,62376178094,1,0,05/05/2020,
